pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,first_name,last_name,height_in,school,conference,position,season_x,applied,drafted
17.0,15.0,7.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,35.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
19.0,14.0,8.0,7.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,34.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
19.0,11.0,6.0,6.0,4.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,38.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
19.0,11.0,2.0,8.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,3.0,32.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
20.0,14.0,8.0,7.0,4.0,4.0,2.0,3.0,0.0,1.0,5.0,4.0,9.0,2.0,0.0,1.0,32.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
20.0,6.0,5.0,5.0,4.0,7.0,6.0,5.0,1.0,1.0,4.0,1.0,5.0,1.0,0.0,3.0,27.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
21.0,9.0,4.0,7.0,3.0,5.0,4.0,1.0,0.0,2.0,4.0,1.0,5.0,1.0,0.0,4.0,33.0,1.0,1.0,Tyler,Dorsey,4.0,Oregon,Pac-12,G,2015.0,0.0,0.0
32.0,16.0,9.0,10.0,7.0,6.0,5.0,1.0,1.0,2.0,8.0,1.0,9.0,4.0,0.0,3.0,35.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
33.0,21.0,12.0,11.0,7.0,4.0,4.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,27.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
29.0,19.0,7.0,12.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,0.0,3.0,5.0,0.0,2.0,42.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
26.0,14.0,9.0,5.0,3.0,17.0,13.0,0.0,0.0,1.0,8.0,2.0,10.0,4.0,0.0,3.0,39.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
23.0,20.0,7.0,10.0,0.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,6.0,2.0,0.0,2.0,30.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
26.0,24.0,10.0,9.0,4.0,5.0,4.0,0.0,1.0,2.0,3.0,4.0,7.0,4.0,0.0,1.0,36.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
6.0,7.0,3.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,15.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
9.0,8.0,3.0,3.0,0.0,4.0,3.0,3.0,0.0,2.0,6.0,3.0,9.0,2.0,0.0,0.0,25.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
10.0,13.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,28.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
10.0,15.0,8.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,7.0,5.0,0.0,2.0,28.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
10.0,11.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,26.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
11.0,12.0,6.0,3.0,1.0,5.0,4.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,0.0,3.0,21.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
12.0,17.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,3.0,0.0,1.0,34.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
12.0,11.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,3.0,0.0,0.0,29.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
13.0,13.0,7.0,4.0,1.0,6.0,4.0,1.0,3.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,32.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
13.0,17.0,8.0,4.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,34.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
15.0,14.0,8.0,5.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,22.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
15.0,13.0,7.0,5.0,2.0,7.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,27.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
16.0,13.0,7.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,28.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
16.0,14.0,6.0,6.0,3.0,2.0,1.0,3.0,0.0,1.0,4.0,0.0,4.0,5.0,0.0,5.0,32.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
16.0,12.0,6.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,3.0,27.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
17.0,16.0,11.0,5.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,23.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
17.0,16.0,12.0,6.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,34.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
18.0,11.0,4.0,7.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,0.0,4.0,3.0,0.0,0.0,30.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
19.0,16.0,11.0,6.0,3.0,5.0,4.0,1.0,1.0,1.0,5.0,1.0,6.0,3.0,0.0,2.0,41.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
22.0,18.0,13.0,7.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,0.0,4.0,3.0,0.0,3.0,29.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
22.0,18.0,9.0,7.0,3.0,5.0,5.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,35.0,1.0,1.0,Desmond,Cambridge,4.0,Brown,Ivy League,G,2017.0,0.0,0.0
25.0,21.0,10.0,10.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,39.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
24.0,16.0,5.0,9.0,2.0,6.0,4.0,1.0,1.0,2.0,6.0,1.0,7.0,1.0,0.0,5.0,41.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
25.0,20.0,11.0,9.0,4.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,33.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
30.0,11.0,5.0,10.0,4.0,7.0,6.0,3.0,0.0,2.0,5.0,0.0,5.0,1.0,0.0,1.0,22.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
26.0,18.0,11.0,10.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,1.0,37.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
26.0,14.0,8.0,8.0,4.0,6.0,6.0,1.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,2.0,32.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
30.0,18.0,6.0,9.0,2.0,11.0,10.0,1.0,0.0,1.0,5.0,0.0,5.0,4.0,0.0,3.0,31.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
31.0,14.0,10.0,7.0,4.0,14.0,13.0,3.0,0.0,2.0,8.0,0.0,8.0,3.0,0.0,4.0,33.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
26.0,18.0,12.0,10.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,36.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
9.0,10.0,6.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,32.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
10.0,10.0,6.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,26.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
11.0,10.0,9.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,20.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
12.0,15.0,14.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,38.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
12.0,14.0,6.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,0.0,5.0,2.0,0.0,3.0,37.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
12.0,15.0,8.0,3.0,2.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,2.0,33.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
13.0,17.0,8.0,6.0,1.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,4.0,3.0,0.0,1.0,28.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
13.0,8.0,3.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,4.0,5.0,0.0,3.0,24.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
14.0,15.0,12.0,4.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,37.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
14.0,15.0,7.0,4.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,30.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
14.0,14.0,6.0,5.0,2.0,3.0,2.0,3.0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,3.0,36.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
14.0,13.0,8.0,4.0,1.0,6.0,5.0,2.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,30.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
14.0,13.0,6.0,5.0,1.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,3.0,34.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
16.0,13.0,8.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,33.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
17.0,15.0,10.0,6.0,4.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,1.0,32.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
18.0,9.0,6.0,5.0,4.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,28.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
18.0,17.0,7.0,5.0,2.0,6.0,6.0,2.0,2.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,38.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
19.0,9.0,6.0,7.0,5.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,7.0,0.0,0.0,2.0,18.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
19.0,18.0,7.0,7.0,1.0,5.0,4.0,0.0,0.0,2.0,4.0,1.0,5.0,2.0,0.0,2.0,38.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
22.0,20.0,12.0,9.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,4.0,4.0,0.0,3.0,32.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
22.0,19.0,13.0,7.0,3.0,5.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,37.0,1.0,1.0,Chris,Clemons,9.0,Campbell,Big South,G,2015.0,0.0,0.0
24.0,14.0,8.0,7.0,4.0,6.0,6.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,38.0,1.0,1.0,Schadrac,Casimir,10.0,Iona,MAAC,G,2014.0,0.0,0.0
33.0,17.0,14.0,11.0,9.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,34.0,1.0,1.0,Schadrac,Casimir,10.0,Iona,MAAC,G,2014.0,0.0,0.0
29.0,20.0,15.0,10.0,8.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,39.0,1.0,1.0,Schadrac,Casimir,10.0,Iona,MAAC,G,2014.0,0.0,0.0
40.0,13.0,9.0,11.0,8.0,11.0,10.0,4.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,28.0,1.0,1.0,Schadrac,Casimir,10.0,Iona,MAAC,G,2014.0,0.0,0.0
